Image ID,Image.name,Annotation status,Points,AcrCerv,AcrPalm,AgAga,AgTen,AgUnd,BL_OrbFav,BORB,CoNat,DiplLab,FaviaFrag,MontaCav,OrbAnn,OrbFav,OrbFrank,PorAstr,Por_branch,PorPor,PseuCliv,PseuStrig,Siderastr,SidSid,ANEM,Feat_dust,GORG-BRI,Gorg_Fan,Gorg_Plume,Gorg_Whip,Hydra,Millepora,PCAR,Spong_Crus,Spong_Erec,Spong_Glo,Film_Sand,Sand,Bare_Rock,CCA_LR,Cyano_HR,Cyano_LR,Cyano_RBL,Cyano_Sand,Debris,ACA,Brown_Enc,Brown_UFM,CCA_HR,CCA_RBL,Dictyota,EAM_HR,EAM_LR,EAM_RBL,Green_UFM,Halimeda,Lobophora,Mac_matrix,Red_Enc,Red_UFM,Sargassum,Ulva,SyrFil,ThalTes
6097785,Belize2025_reefCensus_photoquadrats_CBC_20250625_T1_Q01_50m_P6250179_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,60,4,0,0,0,0,0,0,0,0,0,0
6097786,Belize2025_reefCensus_photoquadrats_CBC_20250625_T1_Q02_45m_P6250542_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
6097787,Belize2025_reefCensus_photoquadrats_CBC_20250625_T1_Q03_40m_P6250192_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,12,0,0,0,0,0,0,0,0,0,0
6097788,Belize2025_reefCensus_photoquadrats_CBC_20250625_T1_Q04_35m_P6250547_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,20,0,0,24,20,0,0,0,0,4,0,0,0,0,0,0
6097789,Belize2025_reefCensus_photoquadrats_CBC_20250625_T1_Q05_30m_P6250198_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,84,0,0,0,0,8,0,0,0,0,0,0
6097790,Belize2025_reefCensus_photoquadrats_CBC_20250625_T1_Q06_25m_P6250551_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0
6097791,Belize2025_reefCensus_photoquadrats_CBC_20250625_T1_Q07_20m_P6250208_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,40,0,4,4,8,0,0,0,0,4,0,0,0,0,0,0
6097792,Belize2025_reefCensus_photoquadrats_CBC_20250625_T1_Q08_15m_P6250556_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,4,24,32,0,0,0,0,0,0,0,0,0,0,0
6097793,Belize2025_reefCensus_photoquadrats_CBC_20250625_T1_Q09_10m_P6250216_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
6097794,Belize2025_reefCensus_photoquadrats_CBC_20250625_T1_Q10_5m_P6250560_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,8,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
6097795,Belize2025_reefCensus_photoquadrats_CBC_20250625_T2_Q01_50m_P6250230_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6097796,Belize2025_reefCensus_photoquadrats_CBC_20250625_T2_Q02_45m_P6250565_R.JPG,Confirmed,25,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
